iShares Russell 1000 ETF
Fund Holdings as of,"Sep 18, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"123,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","1,957,418,884.33","6.45","1,957,418,884.33","10,998,589.00","177.97","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,804,863,826.48","5.95","1,804,863,826.48","5,484,908.00","329.06","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","929,455,301.70","3.06","929,455,301.70","6,639,915.00","139.98","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","769,929,074.72","2.54","769,929,074.72","1,751,192.00","439.66","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","605,302,581.06","1.99","605,302,581.06","4,379,586.00","138.21","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","539,434,411.84","1.78","539,434,411.84","2,033,453.00","265.28","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","520,863,906.96","1.72","520,863,906.96","3,748,301.00","138.96","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","499,918,251.66","1.65","499,918,251.66","1,349,562.00","370.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","493,200,672.30","1.62","493,200,672.30","1,630,146.00","302.55","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","356,310,192.40","1.17","356,310,192.40","623,705.00","571.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","347,294,337.56","1.14","347,294,337.56","2,952,179.00","117.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","332,982,207.84","1.10","332,982,207.84","685,064.00","486.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
